Hour,Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
1,10/14/2012,0:00,2.073,-,2.11
2,10/14/2012,1:00,1.58,-,1.64
3,10/14/2012,2:00,0.642,-,0.81
4,10/14/2012,3:00,-0.53,-,-0.19
5,10/14/2012,4:00,-1.65,-,-1.27
6,10/14/2012,5:00,-2.378,-,-2.05
7,10/14/2012,6:00,-2.464,-,-2.24
8,10/14/2012,7:00,-1.939,-,-1.79
9,10/14/2012,8:00,-0.99,-,-0.99
10,10/14/2012,9:00,0.206,-,0.05
11,10/14/2012,10:00,1.384,-,1.05
12,10/14/2012,11:00,2.219,-,1.69
13,10/14/2012,12:00,2.525,-,1.98
14,10/14/2012,13:00,2.244,-,1.85
15,10/14/2012,14:00,1.408,-,0.99
16,10/14/2012,15:00,0.193,-,-0.21
17,10/14/2012,16:00,-1.116,-,-1.62
18,10/14/2012,17:00,-2.165,-,-2.78
19,10/14/2012,18:00,-2.62,-,-3.3
20,10/14/2012,19:00,-2.38,-,-3.15
21,10/14/2012,20:00,-1.608,-,-2.47
22,10/14/2012,21:00,-0.507,-,-1.38
23,10/14/2012,22:00,0.686,-,-0.04
24,10/14/2012,23:00,1.647,-,1.02
25,10/15/2012,0:00,2.136,-,1.56
26,10/15/2012,1:00,2.067,-,1.47
27,10/15/2012,2:00,1.435,-,0.9
28,10/15/2012,3:00,0.358,-,-0.1
29,10/15/2012,4:00,-0.91,-,-1.47
30,10/15/2012,5:00,-2.042,-,-2.7
31,10/15/2012,6:00,-2.675,-,-3.4
32,10/15/2012,7:00,-2.587,-,-3.37
33,10/15/2012,8:00,-1.856,-,-2.67
34,10/15/2012,9:00,-0.706,-,-1.57
35,10/15/2012,10:00,0.63,-,-0.25
36,10/15/2012,11:00,1.841,-,0.97
37,10/15/2012,12:00,2.621,-,1.85
38,10/15/2012,13:00,2.816,-,2.13
39,10/15/2012,14:00,2.378,-,1.83
40,10/15/2012,15:00,1.362,-,0.97
41,10/15/2012,16:00,-0.007,-,-0.38
42,10/15/2012,17:00,-1.404,-,-1.78
43,10/15/2012,18:00,-2.451,-,-2.87
44,10/15/2012,19:00,-2.816,-,-3.22
45,10/15/2012,20:00,-2.443,-,-2.83
46,10/15/2012,21:00,-1.54,-,-1.99
47,10/15/2012,22:00,-0.351,-,-0.71
48,10/15/2012,23:00,0.853,-,0.59
49,10/16/2012,0:00,1.757,-,1.54
50,10/16/2012,1:00,2.154,-,2
51,10/16/2012,2:00,1.969,-,1.96
52,10/16/2012,3:00,1.209,-,1.24
53,10/16/2012,4:00,0.032,-,0.09
54,10/16/2012,5:00,-1.275,-,-1.13
55,10/16/2012,6:00,-2.363,-,-2.42
56,10/16/2012,7:00,-2.858,-,-3.03
57,10/16/2012,8:00,-2.575,-,-2.79
58,10/16/2012,9:00,-1.654,-,-1.92
59,10/16/2012,10:00,-0.368,-,-0.67
60,10/16/2012,11:00,1.026,-,0.68
61,10/16/2012,12:00,2.21,-,1.89
62,10/16/2012,13:00,2.907,-,2.67
63,10/16/2012,14:00,2.979,-,2.63
64,10/16/2012,15:00,2.39,-,2.19
65,10/16/2012,16:00,1.236,-,1.47
66,10/16/2012,17:00,-0.225,-,0.11
67,10/16/2012,18:00,-1.649,-,-1.23
68,10/16/2012,19:00,-2.639,-,-2.38
69,10/16/2012,20:00,-2.879,-,-2.78
70,10/16/2012,21:00,-2.383,-,-2.34
71,10/16/2012,22:00,-1.406,-,-1.39
72,10/16/2012,23:00,-0.204,-,-0.19
73,10/17/2012,0:00,0.957,-,1.01
74,10/17/2012,1:00,1.78,-,1.79
75,10/17/2012,2:00,2.079,-,2.07
76,10/17/2012,3:00,1.786,-,1.85
77,10/17/2012,4:00,0.937,-,1.08
78,10/17/2012,5:00,-0.281,-,-0.08
79,10/17/2012,6:00,-1.57,-,-1.48
80,10/17/2012,7:00,-2.563,-,-2.54
81,10/17/2012,8:00,-2.89,-,-2.79
82,10/17/2012,9:00,-2.428,-,-2.31
83,10/17/2012,10:00,-1.39,-,-1.46
84,10/17/2012,11:00,-0.055,-,-0.28
85,10/17/2012,12:00,1.327,-,1.21
86,10/17/2012,13:00,2.447,-,2.43
87,10/17/2012,14:00,3.043,-,3.08
88,10/17/2012,15:00,2.998,-,3.14
89,10/17/2012,16:00,2.298,-,2.38
90,10/17/2012,17:00,1.07,-,1.35
91,10/17/2012,18:00,-0.416,-,-0.06
92,10/17/2012,19:00,-1.804,-,-1.47
93,10/17/2012,20:00,-2.687,-,-2.45
94,10/17/2012,21:00,-2.801,-,-2.68
95,10/17/2012,22:00,-2.236,-,-2.15
96,10/17/2012,23:00,-1.263,-,-1.2
97,10/18/2012,0:00,-0.102,-,-0.21
98,10/18/2012,1:00,0.986,-,0.95
99,10/18/2012,2:00,1.714,-,1.71
100,10/18/2012,3:00,1.919,-,1.94
101,10/18/2012,4:00,1.555,-,1.76
102,10/18/2012,5:00,0.672,-,0.93
103,10/18/2012,6:00,-0.531,-,-0.16
104,10/18/2012,7:00,-1.749,-,-1.36
105,10/18/2012,8:00,-2.608,-,-2.35
106,10/18/2012,9:00,-2.771,-,-2.54
107,10/18/2012,10:00,-2.201,-,-2.06
